읍면동,CAI_Index,CAI_등급
고덕동,54.25,보통
고덕면,53.20720486052412,보통
동삭동,52.784552135589855,보통
비전동,52.833333333333336,보통
서정동,51.6342662408869,보통
서탄면,51.78761900074887,보통
세교동,52.775682159495545,보통
송북동,50.833333333333336,보통
송탄동,52.391234338087585,보통
신장동,51.11976580127066,보통
신평동,52.78605540866379,보통
안중읍,52.5,보통
오성면,51.61113335124389,보통
용이동,52.60872665302931,보통
원평동,52.7404223648954,보통
중앙동,52.85346606328911,보통
지산동,50.946562837032104,보통
진위면,51.48418047090653,보통
청북읍,52.5,보통
통복동,52.72736942596174,보통
팽성읍,52.29377602095927,보통
포승읍,54.99892839193245,보통
현덕면,52.38940451243118,보통
